# %ECSV 0.9
# ---
# datatype:
# - {name: lambda, unit: nm, datatype: float64}
# - {name: theta, unit: degree, datatype: float64}
# - {name: o0, datatype: float64}
# - {name: o1, datatype: float64}
# - {name: o2, datatype: float64}
# - {name: o3, datatype: float64}
# - {name: o4, datatype: float64}
# - {name: o5, datatype: float64}
# - {name: o6, datatype: float64}
# - {name: o7, datatype: float64}
# - {name: o8, datatype: float64}
# - {name: o9, datatype: float64}
# - {name: o10, datatype: float64}
# - {name: o11, datatype: float64}
# - {name: o12, datatype: float64}
# meta: !!omap
# - keywords: !!omap
#   - {Author: Ralf Heilmann}
#   - {ORIGFILE: Si_4um_deep_30pct_dc.xlsx}
#   - {Description: Calculated grating efficiencies}
#   - {Grating: Si 4 my deep}
lambda theta o0 o1 o2 o3 o4 o5 o6 o7 o8 o9 o10 o11 o12
0.7 2.7 0.889926583 0.0087099984 0.0042386276 0.0001330744 0.0004220619 4.19E-05 1.78E-05 7.77E-06 2.86E-05 3.51E-07 6.18E-06 1.63E-06 9.71E-06
0.7 2.75 0.894637843 0.0053211153 0.0031562199 6.25E-05 0.0005013661 2.93E-05 1.47E-06 9.46E-06 3.02E-05 7.57E-06 9.32E-06 5.72E-06 7.31E-06
0.7 2.8 0.897601924 0.0028604609 0.0022115297 2.60E-05 0.0005422369 4.31E-05 4.61E-06 1.79E-05 2.61E-05 2.27E-05 1.01E-05 9.89E-06 2.77E-06
0.75 0.8 0.14689598 0.167844592 0.0525047521 0.0462229996 0.0297311111 0.0147011602 0.0280839413 0.0515570791 0.0299386576 0.0064110454 0.0006177947 0.0004880127 5.67E-05
0.75 0.85 0.126803477 0.181453938 0.053677332 0.0469206434 0.0279643045 0.0132744326 0.0242923978 0.0467641177 0.0319335837 0.0097354595 0.0031595094 9.07E-05 1.53E-05
0.75 0.9 0.110589548 0.194696006 0.0552744519 0.0484682376 0.0266766189 0.011877837 0.0200511861 0.0394601196 0.0310216477 0.0125915825 0.0078833672 0.0001719259 0.0001331207
0.75 0.95 0.0980795962 0.207171726 0.0571756707 0.0505598233 0.0256572672 0.0104790751 0.0156579745 0.0307792965 0.0274058911 0.0141156917 0.0140574152 0.0017003656 0.0003047855
0.75 1 0.0891389123 0.218600879 0.0593840712 0.0529310906 0.0246716204 0.009032724 0.0114679378 0.022001322 0.0218753726 0.013809835 0.0199891236 0.0053194817 0.000381583
0.75 1.05 0.0836352103 0.229056629 0.0620528321 0.0552996296 0.0234785556 0.0075474574 0.0078283402 0.0142166507 0.0155894794 0.0117758618 0.0236331334 0.0107132203 0.0004391911
0.75 1.1 0.0815780174 0.238861644 0.0653144754 0.0573467763 0.0219416116 0.0061140757 0.0049700812 0.0081370271 0.0097479493 0.0086665972 0.0235824474 0.0164181288 0.0008311681
0.75 1.15 0.0831180124 0.248091736 0.0691020129 0.0587909204 0.0200958496 0.0048462701 0.0029509202 0.0040374084 0.0052195813 0.0053845705 0.0198575183 0.0203474932 0.001853731
0.75 1.2 0.0881135839 0.256351259 0.0731378113 0.059390666 0.0180479245 0.0038008772 0.0016767082 0.0017622715 0.0023058259 0.0027024753 0.01389406 0.0208669695 0.0033268931
0.75 1.25 0.0958710205 0.26308816 0.0769827328 0.0588417079 0.0158521627 0.0029658584 0.0009540937 0.0008241451 0.0007963283 0.0009991749 0.0077398436 0.0177512516 0.0045767486
0.75 1.3 0.105552066 0.267970929 0.0801017667 0.0567897489 0.013516424 0.0022936662 0.00055874 0.0006202494 0.0002240928 0.0002257842 0.0030674887 0.0123208429 0.0049050657
0.75 1.35 0.116812422 0.270993832 0.0819951041 0.0529953189 0.0110800126 0.0017326037 0.0003148402 0.0006626371 0.0001216803 6.72E-05 0.0005814982 0.0066559937 0.0041190043
0.75 1.4 0.130050792 0.272539921 0.0824735468 0.0475448609 0.008649653 0.0012398277 0.0001545446 0.000693873 0.0001587113 0.0001635518 6.58E-06 0.002471933 0.0026750104
0.75 1.45 0.146055132 0.273408345 0.0818278549 0.0409450634 0.0063900689 0.0008022132 0.0001183655 0.0006658048 0.0001722131 0.000270202 0.0004746786 0.0004064172 0.001335209
0.75 1.5 0.165576418 0.274374183 0.0804500411 0.0338864536 0.0044825462 0.0004496661 0.0002667639 0.0006312609 0.0001358847 0.0002916284 0.0010491214 2.58E-05 0.0005958427
0.75 1.55 0.188975766 0.275396115 0.0783825258 0.0269801577 0.0030733383 0.0002234146 0.0005855522 0.0006404927 8.81E-05 0.0002294346 0.0011799696 0.0003800042 0.0003981743
0.75 1.6 0.215508918 0.275345228 0.0754242114 0.0207297082 0.0022113595 0.0001348813 0.0009822386 0.0006932778 5.79E-05 0.0001364543 0.0008660407 0.000669358 0.0003630927
0.75 1.65 0.243843147 0.273063514 0.0714253676 0.0154140442 0.0017736565 0.0001624337 0.0013167102 0.0007201824 4.07E-05 7.43E-05 0.0004190345 0.0006014907 0.0002364707
0.75 1.7 0.273704698 0.268275049 0.0663564933 0.0110372134 0.0015436353 0.0002679451 0.0014460908 0.0006412912 2.48E-05 6.72E-05 0.0001215428 0.0003212557 6.62E-05
0.75 1.75 0.3056451 0.261148323 0.0604300777 0.0076079534 0.0013819653 0.0004013706 0.001311841 0.0004626591 1.16E-05 9.92E-05 6.56E-05 8.93E-05 1.40E-05
0.75 1.8 0.339915789 0.2521344 0.0542647843 0.0052586336 0.0012380018 0.0005103983 0.00097954 0.0002633179 5.64E-06 0.00014298 0.0001570621 9.99E-06 0.0001087279
0.75 1.85 0.376662614 0.242046358 0.0484781339 0.0039998422 0.0010837227 0.0005504447 0.0005763084 0.0001140951 7.98E-06 0.000171713 0.0002286948 1.87E-05 0.0002136677
0.75 1.9 0.415626405 0.231032553 0.0431452631 0.0036235247 0.0009160748 0.0004897825 0.0002338899 4.93E-05 1.47E-05 0.0001691751 0.0001987592 3.02E-05 0.0001997711
0.75 1.95 0.455311378 0.218273383 0.0380778029 0.0038515012 0.0007445872 0.0003404057 6.87E-05 6.34E-05 2.02E-05 0.0001467677 0.00011384 2.25E-05 9.44E-05
0.75 2 0.494064966 0.203414815 0.0333730414 0.0044197414 0.0005647964 0.0001743198 0.0001261602 0.0001104291 2.34E-05 0.0001243352 4.94E-05 1.19E-05 1.85E-05
0.75 2.05 0.531870085 0.187050937 0.0292203021 0.0050808416 0.0003844114 6.29E-05 0.0003257442 0.0001368684 2.37E-05 9.55E-05 2.53E-05 8.71E-06 1.73E-05
0.75 2.1 0.56922503 0.169695895 0.0256609756 0.0056747283 0.0002352163 2.52E-05 0.0005182157 0.0001210245 1.66E-05 5.16E-05 2.14E-05 6.86E-06 3.92E-05
0.75 2.15 0.605439501 0.151800219 0.0228650694 0.0061223105 0.0001371651 5.62E-05 0.0005962122 7.60E-05 6.11E-06 2.03E-05 2.16E-05 2.35E-06 4.28E-05
0.75 2.2 0.641129338 0.134354538 0.0208155797 0.0062472003 8.11E-05 0.0001330271 0.0005218975 2.76E-05 2.42E-06 2.71E-05 2.15E-05 1.76E-07 2.92E-05
0.75 2.25 0.676578283 0.117768334 0.0191099601 0.005965066 5.17E-05 0.0002095927 0.0003423106 1.61E-06 7.77E-06 6.35E-05 2.57E-05 1.29E-06 1.44E-05
0.75 2.3 0.708935345 0.101523476 0.0175928835 0.0054360443 3.90E-05 0.0002539922 0.0001621435 4.90E-06 2.14E-05 0.0001001449 3.21E-05 2.46E-06 1.32E-05
